(-0.5580149999999999,-0.10047750000000003),green
(-0.19198500000000002,-0.5334925),orange
(0.36602999999999997,-0.4330149999999999),black
(0.5580149999999999,0.10047750000000003),purple
(-0.375,0.03349250000000001),blue
(-0.21650749999999996,-0.308015),red
(0.1584925,-0.34150749999999996),green
(0.375,-0.03349250000000001),orange
(0.21650749999999996,0.308015),black
(-0.1584925,0.34150749999999996),purple
(0.28349250000000004,0.19198500000000004),blue
(-0.024522500000000003,0.34150749999999996),red
(-0.3080149999999999,0.14952249999999997),green
(-0.28349250000000004,-0.19198500000000004),orange
(0.024522500000000003,-0.34150749999999996),black
(0.3080149999999999,-0.14952249999999997),purple
(-0.21650749999999996,0.19198500000000004),blue
(-0.2745225,-0.09150749999999996),red
(-0.05801499999999998,-0.28349250000000004),green
(0.21650749999999996,-0.19198500000000004),orange
(0.2745225,0.09150749999999996),black
(0.05801499999999998,0.28349250000000004),purple
(0.22547750000000003,0.40849250000000004),blue
(-0.24102999999999997,0.3995224999999999),red
(-0.46650749999999996,-0.008970000000000034),green
(-0.22547750000000003,-0.40849250000000004),orange
(0.24102999999999997,-0.3995224999999999),black
(0.46650749999999996,0.008970000000000034),purple
(-0.125,-0.125),blue
(0.045753749999999996,-0.17075374999999998),red
(0.17075374999999998,-0.045753749999999996),green
(0.125,0.125),orange
(-0.045753749999999996,0.17075374999999998),black
(-0.17075374999999998,0.045753749999999996),purple
(0.54575375,0.32924625),blue
(-0.012261250000000001,0.6372612499999999),red
(-0.5580149999999999,0.308015),green
(-0.54575375,-0.32924625),orange
(0.012261250000000001,-0.6372612499999999),black
(0.5580149999999999,-0.308015),purple
(0.045753749999999996,0.32924625),blue
(-0.26226125,0.20424625000000002),red
(-0.308015,-0.125),green
(-0.045753749999999996,-0.32924625),orange
(0.26226125,-0.20424625000000002),black
(0.308015,0.125),purple
(0.23773875,0.70424625),blue
(-0.49102999999999997,0.5580149999999999),red
(-0.72876875,-0.14623125000000003),green
(-0.23773875,-0.70424625),orange
(0.49102999999999997,-0.5580149999999999),black
(0.72876875,0.14623125000000003),purple
(-0.20424625000000002,0.07924625000000002),blue
(-0.17075374999999998,-0.13726125),red
(0.03349250000000001,-0.21650749999999996),green
(0.20424625000000002,-0.07924625000000002),orange
(0.17075374999999998,0.13726125),black
(-0.03349250000000001,0.21650749999999996),purple
(0.32924625,0.36273875000000005),blue
(-0.1495225,0.46650749999999996),red
(-0.4787687499999999,0.10376874999999997),green
(-0.32924625,-0.36273875000000005),orange
(0.1495225,-0.46650749999999996),black
(0.4787687499999999,-0.10376874999999997),purple
(-0.17075374999999998,0.36273875000000005),blue
(-0.3995225,0.033492500000000036),red
(-0.22876874999999997,-0.32924625),green
(0.17075374999999998,-0.36273875000000005),orange
(0.3995225,-0.033492500000000036),black
(0.22876874999999997,0.32924625),purple
(0.10047750000000003,0.5334925),blue
(-0.41178374999999995,0.3537687499999999),red
(-0.5122612499999999,-0.17972375000000002),green
(-0.10047750000000003,-0.5334925),orange
(0.41178374999999995,-0.3537687499999999),black
(0.5122612499999999,0.17972375000000002),purple
(-0.20424625000000002,-0.17075374999999998),blue
(0.04575374999999998,-0.26226125),red
(0.25,-0.09150749999999999),green
(0.20424625000000002,0.17075374999999998),orange
(-0.04575374999999998,0.26226125),black
(-0.25,0.09150749999999999),purple
(0.54575375,0.23773875000000005),blue
(0.06698500000000002,0.5915075),red
(-0.4787687499999999,0.35376874999999997),green
(-0.54575375,-0.23773875000000005),orange
(-0.06698500000000002,-0.5915075),black
(0.4787687499999999,-0.35376874999999997),purple
(0.04575374999999998,0.23773875000000005),blue
(-0.18301499999999998,0.1584925),red
(-0.22876874999999997,-0.07924625000000002),green
(-0.04575374999999998,-0.23773875000000005),orange
(0.18301499999999998,-0.1584925),black
(0.22876874999999997,0.07924625000000002),purple
(0.316985,0.6584925),blue
(-0.41178374999999995,0.60376875),red
(-0.72876875,-0.05472375000000003),green
(-0.316985,-0.6584925),orange
(0.41178374999999995,-0.60376875),black
(0.72876875,0.05472375000000003),purple
(-0.20424625000000002,-0.012261249999999987),blue
(-0.09150749999999996,-0.18301499999999998),red
(0.11273875000000001,-0.17075374999999998),green
(0.20424625000000002,0.012261249999999987),orange
(0.09150749999999996,0.18301499999999998),black
(-0.11273875000000001,0.17075374999999998),purple
(0.40849250000000004,0.3169850000000001),blue
(-0.07027625,0.5122612499999999),red
(-0.4787687499999999,0.19527624999999998),green
(-0.40849250000000004,-0.3169850000000001),orange
(0.07027625,-0.5122612499999999),black
(0.4787687499999999,-0.19527624999999998),purple
